Sample_Name,Transect,Site,Volcano,Site_type,Temperature,pH,Conductivity ,TC,TN,TOC,TON,C:N,GWC,Al,As,B,Ba,Ca,Cd,Co,Cr,Cu,Fe,K,Mg,Mn,Na,Ni,P,Pb,S,Se,Sr,Tl,U,V,Zn,Altitude,Longitude,Latitude
TR1-32-2,Erebus - TR1,Erebus - TR,Erebus,Active,32,4.04,183.4,0.638,0.132,0.175,0.037,4.833333333,29.08,46659.1,8.3,81.7,298.8,4375.8,0.8,1.9,44.2,1.8,39936.3,6519,3176.8,1663.9,9613,2.8,1815.5,27.7,956.1,3,50.6,0.1,5.2,2.7,74.5,3794,167.116389,-77.519444
TR1-42-2,Erebus - TR1,Erebus - TR,Erebus,Active,42,4.75,216.4,1.123,0.367,0.386,0.138,3.059945504,39.02,142524.3,16.6,78.1,1161.2,5053.7,4.5,1.1,17.2,0.5,10924,2692.6,2243,1366.5,4047.4,0.5,1552.6,24,597.4,13.9,27.3,0.2,14.6,1.7,36.3,3794,167.116389,-77.519444
TR1-52-2,Erebus - TR1,Erebus - TR,Erebus,Active,52,4.74,455,2.078,0.461,1.13,0.317,4.507592191,63.52,112740.3,14.1,81.8,1237.1,5109.5,5.2,1.4,39.1,0.9,17127.8,5979.5,2722.4,2177.7,8281.3,0.6,1513,29.1,865.8,11.2,32.4,0.3,11.5,2.4,54,3794,167.116389,-77.519444
TR1-62-2,Erebus - TR1,Erebus - TR,Erebus,Active,62,4.41,228.4,1.015,0.253,0.963,0.234,4.011857708,44.82,117670.1,11.5,76.5,943.8,2557.9,2.5,1.2,50.3,1.1,24367.4,2435.7,2258.7,1809.2,3338.1,0.7,1730.2,29.7,968.7,10.6,23.8,0.2,12.1,1.3,55,3794,167.116389,-77.519444
TR2-24-2,Erebus - TR2,Erebus - TR,Erebus,Active,24,4.53,290,0.355,0.149,0.356,0.135,2.382550336,49.83,39088.4,5.4,79.9,295.2,1569,0.9,2.4,23.4,1.6,61122.4,2109.4,2299.3,2540.6,2693.6,1,873.2,13.7,1598.2,2.4,44.9,0.2,5.5,7.3,85.9,3794,167.116389,-77.519444
TR2-34-2,Erebus - TR2,Erebus - TR,Erebus,Active,34,5.75,957,1.294,0.305,1.137,0.246,4.242622951,42.33,93913.4,5.1,84.5,283.6,3322.2,4.2,2,50.5,2.3,57662,9131,2435.4,2024.4,12882.7,1.6,1227.5,13.7,799.2,2.5,63,0.2,6.6,4.7,114,3794,167.116389,-77.519444
TR2-44-2,Erebus - TR2,Erebus - TR,Erebus,Active,44,4.72,218,0.338,0.057,0.278,0.048,5.929824561,43.19,84470.3,9.7,82.9,637.6,7687.3,0.4,1.5,42,0.9,17816.5,6283.7,5531.5,1174.7,8422.7,0.8,2538.7,10.3,264.4,8.2,50.3,0.1,11.7,0.8,48.5,3794,167.116389,-77.519444
TR2-64-1,Erebus - TR2,Erebus - TR,Erebus,Active,64,6.2,313,2.904,0.404,1.306,0.225,7.188118812,41.64,76003.4,11.2,82.1,374.7,6711.5,2.5,2.6,58.3,2.3,69908.9,14835,4201.9,1732.1,21195.9,3,1283.9,49.9,866,3.8,99.5,0.1,8.8,8.5,122,3794,167.116389,-77.519444
WC-10-1,Erebus - WC,Erebus - WC,Erebus,Passive,10,6.93,6.39,0.082,0.023,0.075,0.017,3.565217391,30.13,79692.3,8.4,80.9,388.2,7752.4,0.3,1.9,59.7,1.1,20184.9,7864.5,5277.5,1106.7,10365.3,1.8,2646.5,6.6,245.4,6.8,47.9,0,9.1,0.8,58.1,3794,167.187778,-77.519167
WC-20-2,Erebus - WC,Erebus - WC,Erebus,Passive,20,7.43,5.63,0.165,0.037,0.129,0.029,4.459459459,35.88,87388.6,8.6,79.7,507.8,8597,0.4,2.2,87.8,1.3,21114.2,8032.5,7565.6,1370,10570.6,1.4,2783.8,8,219.3,7.3,52.9,0.1,10.2,2.5,66,3794,167.187778,-77.519167
WC-30-2,Erebus - WC,Erebus - WC,Erebus,Passive,30,7.62,5.09,0.115,0.026,0,0.02,4.423076923,19.21,59021.5,6.9,81.3,353.5,7018.9,0.3,1.6,75.6,1.1,17488.9,7430.7,5214.1,1041.1,11190.4,1.2,2270.5,6.7,248.9,5.9,47.6,0.1,8.1,0,52.5,3794,167.187778,-77.519167
WC-35-2,Erebus - WC,Erebus - WC,Erebus,Passive,35,8.08,4.89,0.287,0.052,0.245,0.04,5.519230769,26.42,83805.7,10,81.4,640.4,7907.7,0.5,1.5,64.8,1,17977.1,8383.9,5445.7,1373.9,10993.1,1.6,2252.2,10.8,290.5,8.2,52.7,0.1,11.6,0,46.4,3794,167.187778,-77.519167
WC-40-2,Erebus - WC,Erebus - WC,Erebus,Passive,40,8.88,4.26,0.178,0.037,0.11,0.025,4.810810811,24.26,73970.1,11,79,589.8,8037,0.4,1.6,57.7,0.8,19034.8,5703.6,6449.2,1208,7357.3,0.9,2535.1,9.6,137.9,9.1,59.7,0.1,11.2,1.2,45.9,3794,167.187778,-77.519167
WC-50-2,Erebus - WC,Erebus - WC,Erebus,Passive,50,9.2,6.39,1.156,0.206,0.097,0.017,5.611650485,23.03,79960.5,7.4,81.3,257.9,4535.8,0.7,2.4,29.3,3.1,75346.1,10330.7,3482.4,1816.3,14740.5,1.7,1249.8,36,1781.1,2.8,68.5,0.1,7.5,6.7,122,3794,167.187778,-77.519167
Mel1-3,Melbourne,Melbourne,Melbourne,Passive,52,6.43,12.77,0.007,0.012,0,0.009,0.583333333,17.05,16037.7,3.9,4.9,53.6,6717.8,0.1,5,2.3,6,33015.1,248.7,5577.4,795.2,362.5,0.7,3310.2,8.7,88.7,6.8,12.6,0,2.3,1.3,68.2,2733,164.700139,-74.350016
Mel1M-2,Melbourne,Melbourne,Melbourne,Passive,19,5.78,19.39,0.783,0.094,0.686,0.076,8.329787234,29.14,30123,6.4,5.3,173.8,10275.7,0.2,7.2,2,7.8,46618.5,430,7008.9,1034.3,408,0.6,3711,13.1,66.1,11.5,16,0,4.4,6.9,95.2,2733,164.700139,-74.350016
Mel2S-3,Melbourne,Melbourne,Melbourne,Passive,52,5.92,13.08,0.778,0.086,0.639,0.068,9.046511628,27.9,19531,3.4,6.4,37.1,5750.7,0.1,7.8,2.3,10.5,47115,299.8,6254.9,968.6,405.9,1.2,3305.5,7,80.6,5.4,13,0,2.3,6.1,103.3,2733,164.700139,-74.350016
Mel3S-1,Melbourne,Melbourne,Melbourne,Passive,52,6.28,297,0.975,0.099,0.975,0.095,9.848484848,30.03,41552.1,5.9,4.1,38.3,6243.8,0.2,7,1.6,11.8,52212.2,324.8,6538.1,989,398.8,0.6,3888,14.3,126.7,9.8,12.1,0,3.7,6,112.3,2733,164.700139,-74.350016
Ritt1-3,Rittmann,Rittmann,Rittmann,Active,69,6.73,8.15,0,0.022,0,0.021,0,37.22,16285.9,9,5.6,132.6,1226.6,0.4,0.1,6.2,1.7,18598.2,970.5,150.6,741.8,804.1,0.4,98.4,12.2,0,19.3,1,0,1.7,0,47.5,2600,165.497444,-73.448445
Ritt3-3,Rittmann,Rittmann,Rittmann,Active,65,6.09,12.14,0.028,0.032,0,0.017,0.875,50.07,40915.5,11.7,6,52,956.8,0.6,0.2,2,2.2,35433.9,680.6,191.6,705,606.6,0,102.2,27.6,0,24.4,0.5,0,2.8,0.3,74.1,2600,165.497444,-73.448445
Ritt3M-3,Rittmann,Rittmann,Rittmann,Active,65,6,7.28,0.367,0.042,0.318,0.04,8.738095238,32.1,14491.3,5.6,4.3,16.3,1019.1,0.3,0.2,7.8,1.8,17090.4,1424.6,187.2,697.9,937.8,0.6,141.3,12.5,0,11,0.5,0,2.1,0,71.6,2600,165.497444,-73.448445
