bin,Site,Intersect,Intersect2,bin2
Erebus-TR_bin.1.orig_final,1-Erebus-TR,1-TR,Active only,1-TR_Erebus-TR_bin.1.orig_final
Erebus-TR_bin.10.permissive_final,1-Erebus-TR,1-TR,Active only,1-TR_Erebus-TR_bin.10.permissive_final
Erebus-TR_bin.11.strict_final,1-Erebus-TR,1-TR,Active only,1-TR_Erebus-TR_bin.11.strict_final
Erebus-TR_bin.13.strict_final,1-Erebus-TR,1-TR,Active only,1-TR_Erebus-TR_bin.13.strict_final
Erebus-TR_bin.14.permissive_final,1-Erebus-TR,1-TR,Active only,1-TR_Erebus-TR_bin.14.permissive_final
Erebus-TR_bin.16.strict_final,1-Erebus-TR,1-TR,Active only,1-TR_Erebus-TR_bin.16.strict_final
Erebus-TR_bin.19.strict_final,1-Erebus-TR,1-TR,Active only,1-TR_Erebus-TR_bin.19.strict_final
Erebus-TR_bin.20.strict_final,1-Erebus-TR,1-TR,Active only,1-TR_Erebus-TR_bin.20.strict_final
Erebus-TR_bin.21.strict_final,1-Erebus-TR,1-TR,Active only,1-TR_Erebus-TR_bin.21.strict_final
Erebus-TR_bin.22.permissive_final,1-Erebus-TR,1-TR,Active only,1-TR_Erebus-TR_bin.22.permissive_final
Erebus-TR_bin.5.permissive_final,1-Erebus-TR,1-TR,Active only,1-TR_Erebus-TR_bin.5.permissive_final
Erebus-WC_bin.20.strict_final,1-Erebus-WC,1-WC,Passive only,1-WC_Erebus-WC_bin.20.strict_final
Erebus-WC_bin.24.orig_final,1-Erebus-WC,1-WC,Passive only,1-WC_Erebus-WC_bin.24.orig_final
Erebus-WC_bin.33.strict_final,1-Erebus-WC,1-WC,Passive only,1-WC_Erebus-WC_bin.33.strict_final
Erebus-WC_bin.36.permissive_final,1-Erebus-WC,1-WC,Passive only,1-WC_Erebus-WC_bin.36.permissive_final
Erebus-WC_bin.37.strict_final,1-Erebus-WC,1-WC,Passive only,1-WC_Erebus-WC_bin.37.strict_final
Erebus-WC_bin.38.permissive_final,1-Erebus-WC,1-WC,Passive only,1-WC_Erebus-WC_bin.38.permissive_final
