taxonomic lineage,TR2-64-1 (30331),WC-10-1 (22682),TR1-62-2 (47709),TR2-44-2 (44496),WC-30-2 (48512),TR1-52-2 (51427),TR1-42-2 (37339),TR2-24-2 (37425),WC-50-2 (50936),WC-40-2 (41928),WC-35-2 (44988),TR1-32-2 (68201),WC-20-2 (36081),TR2-34-2 (61197),Mel1-3 (48173),Mel1M-2 (46167),Mel2S-3 (41184),Mel3S-1 (59205),Ritt1-3 (33353),Ritt3-3 (32867),Ritt3M-3 (42448)
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.SCGC_AB-179-E04;NA;NA;NA,0,0,9382,10897,20,5819,3671,730,3156,746,210,26195,0,9897,237,2,4,12,1112,5143,4151
super kingdom.Bacteria;phylum.Firmicutes;class.Desulfotomaculia;order.Ammonifexales;NA;NA;NA,0,0,377,68,4224,250,222,11,2731,1147,4217,13,95,47,5633,4864,1657,7631,52,104,209
super kingdom.Bacteria;phylum.Chloroflexi;class.AD3;NA;NA;NA;NA,0,0,1551,1690,0,1216,724,13,251,260,148,3927,22,1178,7406,70,210,269,2442,519,179
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Xanthomonadales;family.Rhodanobacteraceae;genus.Mizugakiibacter;NA,0,0,443,3260,0,3551,3937,1185,0,0,0,1719,0,4474,0,0,0,0,0,39,64
super kingdom.Bacteria;phylum.GAL15;NA;NA;NA;NA;NA,0,0,586,1099,0,858,926,0,1254,868,336,5417,0,25,3137,71,67,105,1806,1377,699
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.Caldiarchaeales;family.Terrestrial_Hot_Spring_Gp(THSCG);NA;NA,0,0,0,8,0,0,5,0,825,101,30,0,0,0,473,0,0,0,5942,7581,527
super kingdom.Bacteria;phylum.Bacteroidota;class.Bacteroidia;order.Chitinophagales;family.Chitinophagaceae;NA;NA,0,0,766,2549,0,177,1677,8346,0,0,0,53,0,1838,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Deinococcota;class.Deinococci;order.Thermales;family.Thermaceae;genus.Meiothermus;NA,0,0,4603,167,0,1858,511,0,0,0,0,245,0,526,42,44,11,0,4810,1255,1041
super kingdom.Bacteria;phylum.Armatimonadota;class.Chthonomonadetes;order.Chthonomonadales;family.Chthonomonadaceae;genus.Chthonomonas;NA,0,0,2112,878,0,1144,579,15,1173,8,0,1853,0,145,464,370,46,0,1582,2002,1322
super kingdom.Bacteria;phylum.Cyanobacteria;class.Cyanobacteriia;order.Leptolyngbyales;family.Leptolyngbyaceae;genus.Leptolyngbya_PCC-6306;NA,0,0,2291,74,166,2643,315,18,283,451,384,0,8,131,572,690,30,0,25,186,4664
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Gammaproteobacteria_Incertae_Sedis;family.Unknown_Family;genus.Acidibacter;NA,0,0,0,0,1283,0,0,0,1184,295,799,0,240,0,1146,1653,1954,4068,0,21,91
super kingdom.Bacteria;phylum.Cyanobacteria;class.Cyanobacteriia;order.Cyanobacteriales;family.Nostocaceae;NA;NA,0,0,0,0,55,0,0,0,1423,218,145,0,0,0,990,1955,642,83,0,235,6877
super kingdom.Bacteria;phylum.Chloroflexi;class.Ktedonobacteria;order.Ktedonobacterales;family.Ktedonobacteraceae;genus.FCPS473;NA,0,0,2019,1699,0,1575,1265,61,137,1574,13,3576,0,342,8,0,0,0,46,32,92
super kingdom.Bacteria;NA;NA;NA;NA;NA;NA,0,0,6,5,0,12,11,0,289,127,4,5,0,3,42,0,0,0,6329,4943,209
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Subgroup_2;NA;NA;NA,0,0,16,15,23,8,72,0,1663,269,299,0,204,0,1438,2688,1661,2171,56,163,842
