taxonomic lineage,TR2-64-1,WC-10-1,TR1-62-2,TR2-44-2,WC-30-2,TR1-52-2,TR1-42-2,TR2-24-2,WC-50-2,WC-40-2,WC-35-2,TR1-32-2,WC-20-2,TR2-34-2,Mel1-3,Mel1M-2,Mel2S-3,Mel3S-1,Ritt1-3,Ritt3-3,Ritt3M-3
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.Caldiarchaeales;family.Terrestrial_Hot_Spring_Gp(THSCG);genus.NA,0,0,0,8,0,0,5,0,825,101,30,0,0,0,473,0,0,0,5942,7581,527
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.Caldiarchaeales;family.Terrestrial_Hot_Spring_Gp(THSCG);genus.NA,0,0,0,0,0,0,0,0,485,64,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.Caldiarchaeales;family.Terrestrial_Hot_Spring_Gp(THSCG);genus.NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.Caldiarchaeales;family.Terrestrial_Hot_Spring_Gp(THSCG);genus.NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.Caldiarchaeales;family.Terrestrial_Hot_Spring_Gp(THSCG);genus.NA,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.Caldiarchaeales;family.Terrestrial_Hot_Spring_Gp(THSCG);genus.NA,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.Group_1.1c;family.NA;genus.NA,0,0,0,0,0,0,0,7,0,0,9,0,0,13,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.Group_1.1c;family.NA;genus.NA,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.Group_1.1c;family.NA;genus.NA,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.Nitrososphaerales;family.Nitrososphaeraceae;genus.Candidatus_Nitrososphaera,0,0,189,741,0,1977,2392,0,0,0,0,5347,0,308,0,23,0,0,83,25,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.Nitrososphaerales;family.Nitrososphaeraceae;genus.Candidatus_Nitrocosmicus,0,0,105,654,0,39,413,568,0,0,0,4,0,4017,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.Nitrososphaerales;family.Nitrososphaeraceae;genus.Candidatus_Nitrososphaera,0,0,1413,755,0,270,0,263,0,0,0,1284,0,1707,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.Nitrososphaerales;family.Nitrososphaeraceae;genus.Candidatus_Nitrocosmicus,2734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.Nitrososphaerales;family.Nitrososphaeraceae;genus.Candidatus_Nitrososphaera,0,0,0,0,260,0,0,0,442,111,248,0,27,0,40,107,0,118,63,220,91
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.Nitrososphaerales;family.Nitrososphaeraceae;genus.Candidatus_Nitrososphaera,0,0,979,174,0,362,55,0,0,0,0,146,0,0,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.Nitrososphaerales;family.Nitrososphaeraceae;genus.Candidatus_Nitrocosmicus,0,0,0,0,0,460,0,0,0,0,0,0,0,596,0,0,0,0,0,4,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.Nitrososphaerales;family.Nitrososphaeraceae;genus.Candidatus_Nitrososphaera,952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.Nitrososphaerales;family.Nitrososphaeraceae;genus.Candidatus_Nitrocosmicus,0,0,0,0,0,0,0,579,0,0,0,0,0,208,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.Nitrososphaerales;family.Nitrososphaeraceae;genus.Candidatus_Nitrososphaera,0,0,395,103,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.Nitrososphaerales;family.Nitrososphaeraceae;genus.Candidatus_Nitrososphaera,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.Nitrososphaerales;family.Nitrososphaeraceae;genus.Candidatus_Nitrososphaera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,54,88,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.Nitrososphaerales;family.Nitrososphaeraceae;genus.Candidatus_Nitrososphaera,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.Nitrososphaerales;family.Nitrososphaeraceae;genus.Candidatus_Nitrososphaera,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.Nitrososphaerales;family.Nitrososphaeraceae;genus.NA,0,0,0,0,22,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.Nitrososphaerales;family.Nitrososphaeraceae;genus.Candidatus_Nitrocosmicus,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.Nitrososphaerales;family.Nitrososphaeraceae;genus.Candidatus_Nitrocosmicus,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.Nitrososphaerales;family.Nitrososphaeraceae;genus.Candidatus_Nitrososphaera,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.Nitrososphaerales;family.Nitrososphaeraceae;genus.Candidatus_Nitrososphaera,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.Nitrososphaerales;family.Nitrososphaeraceae;genus.Candidatus_Nitrocosmicus,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.Nitrososphaerales;family.Nitrososphaeraceae;genus.Candidatus_Nitrososphaera,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
