"","ASV","TR2-64-1","WC-10-1","TR1-62-2","TR2-44-2","WC-30-2","TR1-52-2","TR1-42-2","TR2-24-2","WC-50-2","WC-40-2","WC-35-2","TR1-32-2","Mel1-3","Mel1M-2","Mel2S-3","Mel3S-1","Ritt1-3","Ritt3-3","Ritt3M-3","WC-20-2","TR2-34-2","count","reads","median","dev"
"1","ASV_1",0,0,0.1966505,0.2448984,0.0004122691,0.1131507,0.09831543,0.01950568,0.06196011,0.01779241,0.004667911,0.3840853,0.004919768,4.332099e-05,9.71251e-05,0.0002026856,0.03334033,0.1564791,0.09779024,0,0.1617236,"17",0.0760016609423809,0.01950568,0.103255246532952
"2","ASV_2",0,0,0.007902073,0.0015282273,0.0870712401,0.0048612596,0.0059455261,0.0002939212,0.0536163028,0.0273564205,0.0937361074,0.000190613,0.1169327216,0.10535664,0.0402340715,0.128891141,0.0015590801,0.0031642681,0.0049236713,0.0026329647,0.0007680115,"19",0.032712583847619,0.0049236713,0.0451063434411043
"3","ASV_3",0,0,0.0325095894,0.0379809421,0,0.0236451669,0.019389914,0.0003473614,0.0049277525,0.0062011067,0.0032897662,0.0575798009,0.1537375708,0.0015162345,0.0050990676,0.0045435352,0.0732168021,0.0157909149,0.0042169242,0.0006097392,0.0192493096,"18",0.0220881665809524,0.0050990676,0.0362359622126189
"4","ASV_4",0,0,0.00928546,0.073265013,0,0.069049332,0.105439353,0.031663327,0,0,0,0.025204909,0,0,0,0,0,0.001186601,0.001507727,0,0.073108159,"9",0.0185576133809524,0,0.0324757616501044
"5","ASV_5",0,0,0.0122827978,0.0246988493,0,0.0166838431,0.0247998072,0,0.0246191299,0.0207021561,0.0074686583,0.0794269879,0.0651194653,0.001537895,0.0016268454,0.0017734989,0.0541480526,0.0418961268,0.0164672069,0,0.0004085168,"16",0.0187457065380952,0.0122827978,0.0233251926839663
"6","ASV_6",0,0,0,0.0001797914,0,0,0.0001339082,0,0.016196796,0.0024088914,0.0006668445,0,0.0098187782,0,0,0,0.1781548886,0.2306568899,0.0124151904,0,0,"9",0.021458665647619,0,0.061559314277333
"7","ASV_7",0,0,0.0160556708,0.0572860482,0,0.0034417718,0.0449128257,0.223006012,0,0,0,0.0007771147,0,0,0,0,0,0,0,0,0.030034152,"7",0.0178815997714286,0,0.0497433590303048
"8","ASV_8",0,0,0.0964807479,0.0037531464,0,0.0361288817,0.0136854227,0,0,0,0,0.0035923227,0.0008718577,0.0009530617,0.000267094,0,0.1442149132,0.0381841969,0.0245241236,0,0.0085951926,"12",0.0176786171952381,0.0008718577,0.0368767763818652
"9","ASV_9",0,0,0.044268377,0.0197321108,0,0.0222451242,0.0155065749,0.0004008016,0.023028899,0.0001908033,0,0.0271696896,0.0096319515,0.0080143826,0.0011169386,0,0.0474320151,0.0609121611,0.0311439879,0,0.0023693972,"15",0.0149125340190476,0.0080143826,0.018407754912047
"10","ASV_10",0,0,0.0480202897,0.0016630708,0.0034218338,0.051393237,0.0084362195,0.0004809619,0.0055559918,0.010756535,0.0085356095,0,0.0118738713,0.0149457405,0.0007284382,0,0.0007495578,0.0056591718,0.1098756125,0.0002217233,0.0021406278,"17",0.0135456424857143,0.0034218338,0.0263382885961399
"11","ASV_11",0,0,0,0,0.0264470646,0,0,0,0.0232448563,0.007035871,0.0177602916,0,0.0237892595,0.0358047956,0.0474456099,0.068710413,0,0.0006389388,0.0021437995,0.0066517003,0,"11",0.0123653619095238,0.0006389388,0.0190566583842543
"12","ASV_12",0,0,0,0,0.00113374,0,0,0,0.027937019,0.005199389,0.003223082,0,0.020550931,0.042346265,0.015588578,0.001401909,0,0.007150029,0.162009989,0,0,"10",0.0136448062380952,0,0.0358247570163232
"13","ASV_13",0,0,0.0423190593,0.0381832075,0,0.0306259358,0.0338787863,0.0016299265,0.0026896498,0.0375405457,0.0002889659,0.0524332488,0.0001660681,0,0,0,0.0013791863,0.000973621,0.0021673577,0,0.0055885092,"14",0.011898288947619,0.0013791863,0.018123112890745
"14","ASV_14",0,0,0.0001257624,0.0001123697,0,0.0002333405,0.0002945981,0,0.005673787,0.003029002,8.89126e-05,7.331271e-05,0.0008718577,0,0,0,0.189758,0.150394,0.004923671,0,4.902201e-05,"12",0.01693464932,8.89126e-05,0.0513179204795485
"15","ASV_15",0,0,0.0003353665,0.000337109,0.0004741095,0.0001555603,0.0019282787,0,0.0326488142,0.0064157604,0.0066462168,0,0.0298507463,0.0582234063,0.0403311966,0.0366692002,0.0016790094,0.0049593818,0.0198360347,0.0056539453,0,"16",0.0117211493333333,0.0019282787,0.0172851064386388
"16","ASV_16",0,0,0,0,0.0008039248,0,0,0,0.0399520967,0.006916619,0.006090513,0,0.0542835198,0.092360344,0.0412053225,0.003411874,0,0,0,0.0001108617,0,"9",0.0116730988333333,0,0.024501969075453
"17","ASV_17",0,0,0,0,0.024901055,0,0,0,0.043976755,0.011138142,0.02642927,0,0.010815187,0.033465462,0.027413559,0.048931678,0,0,0,0.002743826,0,"9",0.0109435682857143,0,0.0162046797929812
"18","ASV_18",0,0,0.0039615167,0.0166531823,0,0.0384428413,0.0640617049,0,0,0,0,0.07840061,0,0.0004981913,0,0,0.0024885318,0.0007606414,0,0,0.0050329265,"9",0.0100142926761905,0,0.0223022134789997
"19","ASV_19",0,0,0.031210044,0.044520856,0,0.077138468,0.016176116,0,0,0,0,0.033914459,0,0,0,0,0,0,0,0,0.001977221,"6",0.00975891257142857,0,0.0203989209343536
"20","ASV_20",0,0,0,0,0.0167381266,0,0,0,0.013212659,0.0212268651,0.0104250022,0,0.0779067112,0.0272055797,0.0037393162,0.001233004,0.0012892393,0.002555755,0.030649265,0.0006374546,0,"12",0.00984852275714286,0.001233004,0.0183714698903424
"21","ASV_21",0,0,0.1115932,0.0007641136,0,0.04851537,0.02196095,0.001068804,0,0,0,7.331271e-05,0,0,0,0,0.001918868,0.004746402,0.006125141,0,0.005229014,"10",0.00961881787190476,0,0.0259219152913473
"22","ASV_22",0,0,0,0,0.011832124,0,0,0,0,0.033199771,0.002467325,0,0.003466672,0.010310395,0.012844794,0.003580779,0,0.005537469,0,0.161414595,0,"9",0.0116501868571429,0,0.0351990877214361
"23","ASV_23",0,0,0,0,0.0066581464,0,0,0,0,0.0598645297,0.0572819419,0,0,0.0075161912,0.0229458042,0.0197618444,0,0,0.0001649077,0.0391341703,0,"8",0.0101584540857143,0,0.0190358605717295
"24","ASV_24",0,0,0,0,0.0179130937,0,0,0,0.0165894456,0.0163613814,0.017226816,0,0.0420152368,0.0492559621,0.0132090132,0.0095262224,0.001738974,0.0015517084,0.0120382586,0.0008868934,0,"12",0.00944347645714286,0.0015517084,0.0139563200213185
